time,value
0.000000, -0.000000
1.000000, -0.006283
2.000000, -0.012566
3.000000, -0.018848
4.000000, -0.025130
5.000000, -0.031411
6.000000, -0.037690
7.000000, -0.043968
8.000000, -0.050244
9.000000, -0.056519
10.000000, -0.062791
11.000000, -0.069060
12.000000, -0.075327
13.000000, -0.081591
14.000000, -0.087851
15.000000, -0.094108
16.000000, -0.100362
17.000000, -0.106611
18.000000, -0.112856
19.000000, -0.119097
20.000000, -0.125333
21.000000, -0.131564
22.000000, -0.137790
23.000000, -0.144011
24.000000, -0.150226
25.000000, -0.156434
26.000000, -0.162637
27.000000, -0.168833
28.000000, -0.175023
29.000000, -0.181206
30.000000, -0.187381
31.000000, -0.193549
32.000000, -0.199710
33.000000, -0.205863
34.000000, -0.212007
35.000000, -0.218143
36.000000, -0.224271
37.000000, -0.230389
38.000000, -0.236499
39.000000, -0.242599
40.000000, -0.248690
41.000000, -0.254771
42.000000, -0.260842
43.000000, -0.266902
44.000000, -0.272952
45.000000, -0.278991
46.000000, -0.285019
47.000000, -0.291036
48.000000, -0.297042
49.000000, -0.303035
50.000000, -0.309017
51.000000, -0.314987
52.000000, -0.320944
53.000000, -0.326888
54.000000, -0.332820
55.000000, -0.338738
56.000000, -0.344643
57.000000, -0.350534
58.000000, -0.356412
59.000000, -0.362275
60.000000, -0.368125
61.000000, -0.373959
62.000000, -0.379779
63.000000, -0.385584
64.000000, -0.391374
65.000000, -0.397148
66.000000, -0.402906
67.000000, -0.408649
68.000000, -0.414376
69.000000, -0.420086
70.000000, -0.425779
71.000000, -0.431456
72.000000, -0.437116
73.000000, -0.442758
74.000000, -0.448383
75.000000, -0.453990
76.000000, -0.459580
77.000000, -0.465151
78.000000, -0.470704
79.000000, -0.476238
80.000000, -0.481754
81.000000, -0.487250
82.000000, -0.492727
83.000000, -0.498185
84.000000, -0.503623
85.000000, -0.509041
86.000000, -0.514440
87.000000, -0.519817
88.000000, -0.525175
89.000000, -0.530511
90.000000, -0.535827
91.000000, -0.541121
92.000000, -0.546394
93.000000, -0.551646
94.000000, -0.556876
95.000000, -0.562083
96.000000, -0.567269
97.000000, -0.572432
98.000000, -0.577573
99.000000, -0.582690
100.000000, -0.587785
101.000000, -0.592857
102.000000, -0.597905
103.000000, -0.602930
104.000000, -0.607930
105.000000, -0.612907
106.000000, -0.617860
107.000000, -0.622788
108.000000, -0.627691
109.000000, -0.632570
110.000000, -0.637424
111.000000, -0.642253
112.000000, -0.647056
113.000000, -0.651834
114.000000, -0.656586
115.000000, -0.661312
116.000000, -0.666012
117.000000, -0.670686
118.000000, -0.675333
119.000000, -0.679953
120.000000, -0.684547
121.000000, -0.689114
122.000000, -0.693653
123.000000, -0.698165
124.000000, -0.702650
125.000000, -0.707107
126.000000, -0.711536
127.000000, -0.715936
128.000000, -0.720309
129.000000, -0.724653
130.000000, -0.728969
131.000000, -0.733255
132.000000, -0.737513
